Sample,Month,Season,Year,Zone,Station,Batch,SecchiDiskDepth,Silica,Sulfate,Temperature,Turbidity,Alkalinity,Ammonia,Pheophytin.a,Chlorophyll.a,TotalDepth,DissolvedOxygen,Nitrate.Nitrite,Phosphate.Ortho,Phosphate.Total,pH,Total.Nitrogen,TN.TP.ratio,Microcystis.Abundance,Microcystin.RR,Microcystin.WR,Microcystin.YR,Microcystin,Microcystin.HILR,Microcystin.HTYR,Microcystin.LA,Microcystin.LF,Microcystin.LR,Microcystin.LW,Microcystin.LY,Anatoxin.a,Cylindrospermopsin,S,N,H,J,inv.D
L001_6_21,6,wet,3,Pelagic,L001,PAIS2,0.1,9.98,23.2,28.5,64.8,112,0.01,1.15,13.7,3.1,7.02,0.145,0.06,0.22,8.3,1.74,7.909,0.018234813,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,5.2,-0.25,-0.1,-0.25,-0.1,718,65857,5.369718778,0.816504771,36.07414045
L001_7_21,7,wet,3,Pelagic,L001,PAIS2,0.2,8.53,22.3,27.8,35.6,100,0.008,1.45,22,3.2,7.08,0.066,0.052,0.158,8.2,1.27,8.038,0.001346074,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,1.7,-0.25,-0.1,-0.25,-0.1,872,71619,6.014392,0.888285195,203.5925329
L001_8_21,8,wet,3,Pelagic,L001,PAIS3,0.3,5.76,22.1,30.3,24.2,79,0.013,1.8,36.1,3.3,6.37,0.044,0.018,0.086,8.1,1.72,20,0.000513303,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,1194,48757,6.442931448,0.909368099,346.2866514
L001_9_21,9,wet,3,Pelagic,L001,PAIS3,0.4,6.58,18,29,9.4,71,0.011,1.31,20.1,3.6,6.08,0.015,0.031,0.11,7.6,1.37,12.455,0.000475613,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.27,-0.25,-0.1,-0.25,-0.1,888,36725,6.180927758,0.910436513,267.5952116
L001_10_21,10,wet,3,Pelagic,L001,PAIS3,0.7,6.28,16.7,26.9,6,66,0.013,1.18,22.1,3.9,7.48,-0.005,0.019,0.089,8,1.21,13.596,0.000358953,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,871,39795,6.136538413,0.906479018,264.0077915
L004_3_19,3,dry,1,Pelagic,L004,LO22,0.2,10.6,22.4,22.1,53.5,111,0.016,0.288,3.94,3.2,8.53,0.323,0.056,0.154,8.2,1.34,8.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,30309,4.86114531,0.828632367,43.13733936
L004_5_19,5,wet,1,Pelagic,L004,LO22,0.3,11,23.9,26.8,53,107,0.009,0.472,7.01,2.9,7.6,0.264,0.056,0.149,8.2,1.24,8.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,26354,5.095520851,0.860111552,81.82084721
L004_8_19,8,wet,1,Pelagic,L004,LO8382,0.25,7.83,24,28.8,27,106,0.008,0.515,10.5,3.1,7.72,0.059,0.054,0.124,8.2,0.968,7.806,0.002997258,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,90416,6.168267813,0.851809945,135.4825806
L004_9_19,9,wet,1,Pelagic,L004,NOAA,0.2,0,0,29.5,38.1,88,0.014,1.61,30,3.9,7.16,0.17,0.029,0.151,8,1.48,9.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,59102,5.982794493,0.913652155,223.1067573
L004_11_19,11,dry,1,Pelagic,L004,ELIZA23,0.2,9.14,23.1,26.4,27.6,97,0.012,0.331,10.6,3.6,7.95,0.341,0.058,0.127,8.3,1.27,10,0.00011307,0,0,0,0,0,0,0,0,0,0,0,0,0,552,21295,5.469867225,0.866369779,89.21225132
L004_12_19,12,dry,1,Pelagic,L004,ELIZA23,0.1,0,0,18.9,122,105,0.007,1,6.25,3.4,8.89,0.326,0.059,0.308,8.1,2.42,7.857,1.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,884,22795,6.213797886,0.915887274,264.5646037
L004_1_20,1,dry,2,Pelagic,L004,ELIZA2,0.2,0,0,21.1,50.2,105,0.008,0.332,3.96,3.6,8.91,0.392,0.094,0.159,8.1,1.34,8.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,92212,5.710038471,0.848618463,108.4944562
L004_2_20,2,dry,2,Pelagic,L004,ELIZA2,0.2,10.2,24.1,18,56.4,103,0.005,0.604,25.7,3.6,9.76,0.406,0.083,0.181,8.3,1.6,8.84,0.000111275,0,0,0,0,0,0,0,0,0,0,0,0,0,593,43947,5.565081125,0.871560171,118.7022587
L004_3_20,3,dry,2,Pelagic,L004,ELIZA3,0.1,9.13,25.5,19.1,126,128,0.024,-0.48,7.49,3.4,9.02,0.37,0.057,0.272,8,1.94,7.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,11044,3.924463811,0.863792468,32.56075974
L004_4_20,4,dry,2,Pelagic,L004,UNK,0.2,8.38,26.2,24.3,63.3,114,0.009,0.628,13.4,3.1,8.31,0.275,0.053,0.166,8.2,1.5,9.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,16586,4.424375926,0.871768355,42.93755143
L004_6_20,6,wet,2,Pelagic,L004,UNK,0.2,8.94,26.5,29.3,38.6,113,0.009,1.36,17.8,3.1,7.31,0.196,0.057,0.156,8.2,1.28,8.205,0.000109481,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,4.4,-0.25,-0.25,-0.25,-0.25,249,22891,4.835551114,0.87641004,74.16856644
L004_7_20,7,wet,2,Pelagic,L004,UNK,0.3,8.43,26.6,30.3,34.7,108,0.018,1.36,64,3.3,8.07,0.035,0.037,0.141,8.4,1.31,9.291,0.006552687,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,17,-0.25,-0.25,-0.25,-0.25,1156,59339,6.096592295,0.864431225,138.3224989
L004_8_20,8,wet,2,Pelagic,L004,UNK,0.2,10.1,25.8,29.6,25.2,108,0.01,0.784,21.5,3.2,8.05,0.042,0.062,0.137,8.3,0.991,7.234,0.018895286,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,27,-0.25,-0.25,-0.25,-0.25,750,53742,5.143430775,0.776944698,23.61329579
L004_9_20,9,wet,2,Pelagic,L004,UNK,0.3,6.74,19.9,30.3,16.6,81,0.013,1.52,38.5,3.7,7.87,0.045,0.029,0.118,8.2,1.32,11.186,0.01012427,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,10,-0.25,-0.25,-0.25,-0.25,1222,99407,6.247227853,0.878870749,166.2953533
L004_10_20,10,wet,2,Pelagic,L004,UNK,0.3,8.4,21,27.3,36.8,94,0.012,0.936,8.74,4.2,7.45,0.206,0.05,0.138,8.1,1.31,9.493,0.000156145,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1090,62393,6.093963746,0.871321439,150.6957056
L004_11_20,11,dry,2,Pelagic,L004,PAIS1,0.2,8.79,21.7,25.3,73.1,100,0.009,0.872,6.03,4.6,7.98,0.267,0.055,0.202,8.2,1.72,8.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049,54789,6.170517824,0.887130425,180.8489078
L004_12_20,12,dry,2,Pelagic,L004,PAIS1,0.1,8.8,20.6,19.3,37.9,96,0.013,0.488,16.9,4.9,9.29,0.342,0.064,0.16,8.1,1.41,8.813,6.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,439,29247,5.273241574,0.866668105,81.81261881
L004_2_21,2,dry,3,Pelagic,L004,PAIS1,0.2,9.1,19.9,19.4,55.5,98,0.006,0.456,17.4,4.3,9.94,0.349,0.056,0.127,8.3,1.54,12.126,6.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,621,47242,5.486821105,0.85313927,105.9817225
L004_3_21,3,dry,3,Pelagic,L004,PAIS1,0.2,8.93,21.6,19.3,97.8,108,-0.005,0.874,6.68,4.3,8.98,0.353,0.06,0.244,8.3,1.83,7.5,6.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,893,54866,6.065890733,0.892753468,218.0692092
L004_4_21,4,dry,3,Pelagic,L004,PAIS3,0.3,9.52,22,21.8,65.3,106,0.011,0.48,12.2,3.9,8.58,0.326,0.078,0.152,8.1,1.58,10.395,0.000480997,0,0,0,0,0,0,0,0,0,0,0,0,0,757,40964,5.679420655,0.856706811,118.0637174
L004_6_21,6,wet,3,Pelagic,L004,PAIS2,0.2,11,23.1,28.5,52.3,110,0.011,0.602,8.34,3.5,7.19,0.244,0.072,0.174,8.3,1.36,7.816,0.000236909,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.28,-0.25,-0.1,-0.25,-0.1,411,43405,5.039325583,0.837292936,61.91248554
L004_7_21,7,wet,3,Pelagic,L004,PAIS3,0.2,8.61,22.1,28.1,36.5,100,0.009,0.845,16.6,3.7,7.44,0.078,0.055,0.155,8.2,1.19,7.677,0.002376269,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.69,-0.25,-0.1,-0.25,-0.1,1088,44793,6.048276467,0.865016169,143.9159601
L004_8_21,8,wet,3,Pelagic,L004,PAIS2,0.3,4.36,21,30.4,44.9,100,0.009,1.03,15.9,3.8,6.7,0.055,0.043,0.159,8.3,1.34,8.428,0.001105575,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,1.1,-0.25,-0.1,-0.25,-0.1,765,58013,5.932565511,0.893475369,202.7815114
L004_10_21,10,wet,3,Pelagic,L004,PAIS3,0.5,9.09,21.8,27.6,11.2,98,0.011,0.586,14.5,5.5,7.98,-0.005,0.047,0.094,8.2,0.93,9.894,0.000170503,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,699,34158,5.826595148,0.889603946,196.2493914
L005_3_19,3,dry,1,Pelagic,L005,LO22,0.3,9.58,22.6,25.5,28.8,110,0.014,0.965,33.9,2.1,9,0.07,0.029,0.131,8.6,1.34,10.229,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,349,21653,5.246883198,0.896126174,119.2772851
L005_4_19,4,dry,1,Pelagic,L005,LO22,0.5,0,0,24.8,18.3,94,0.014,0.629,22,2,8.81,-0.005,0.005,0.091,8.5,1.26,13.846,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,250,12824,5.071987498,0.9185952,101.5318379
L005_5_19,5,wet,1,Pelagic,L005,ELIZA2,0.7,7.73,24.3,27.4,12.5,105,0.008,1.23,24.8,1.6,8.54,-0.005,0.013,0.097,8.7,1.07,11.031,0.000315879,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,657,80425,5.752969347,0.886752396,167.4067018
L005_6_19,6,wet,1,Pelagic,L005,LO22,0.8,0,0,31.6,6.6,106,0.011,0.334,7.66,1.63,8.01,-0.005,0.024,0.065,8.6,0.821,12.631,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,196,15101,4.547828702,0.861638861,54.08811559
L005_7_19,7,wet,1,Pelagic,L005,ELIZA2,0.9,0,0,28.6,6.7,95,0.014,0.284,21,1.7,7.82,-0.005,-0.002,0.033,7.6,1.32,40,0.000908151,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,505,53315,5.245787584,0.842756582,93.76152253
L005_8_19,8,wet,1,Pelagic,L005,LO8382,0.9,7.12,25.4,28.9,5.4,97,0.011,0.165,16.6,1.9,9.06,-0.005,-0.002,0.026,8.8,0.969,37.269,7.00E-05,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,546,36930,5.702898082,0.904845764,185.4607946
L005_9_19,9,wet,1,Pelagic,L005,LO8382,0.1,0,0,30.5,22,97,0.014,0.683,17.1,2.7,7.98,0.04,0.04,0.104,8.4,0.898,8.635,0.000179477,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,1085,67049,6.027754233,0.862421676,168.3823855
L005_11_19,11,dry,1,Pelagic,L005,ELIZA23,0.7,6.39,23.4,27.4,5.4,99,0.007,1.1,35.4,2.3,10.4,0.021,0.002,0.059,8.9,1.14,19.322,0.000206398,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,600,22858,5.782620277,0.903968089,204.6785139
L005_12_19,12,dry,1,Pelagic,L005,ELIZA23,0.4,0,0,19.5,19,96,0.019,0.812,13.2,2.3,9.29,0.144,0.02,0.102,8.3,1.3,12.745,0.000287162,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,593,23026,5.600244432,0.877067178,127.1187818
L005_1_20,1,dry,2,Pelagic,L005,ELIZA2,0.6,0,0,23.2,7.6,95,0.012,0.712,23.4,2.2,10.1,-0.005,-0.002,0.057,8.7,1.12,19.649,0.000256651,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,530,44675,5.491130103,0.875376657,122.82741
L005_2_20,2,dry,2,Pelagic,L005,ELIZA23,0.6,4.89,23.8,19,7.5,99,0.007,0.693,36.7,2.2,11.2,-0.005,0.002,0.055,8.8,1.27,23.091,0.000201014,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,560,26567,5.47753119,0.865610921,107.4920671
L005_4_20,4,dry,2,Pelagic,L005,UNK,0.4,8.5,27.3,25.2,13.3,109,0.014,1.48,27.8,1.8,9.7,0.02,0.008,0.082,8.5,1.28,15.61,0.00022614,-0.25,-0.25,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,138,21562,4.325400029,0.877852107,48.54755588
L005_6_20,6,wet,2,Pelagic,L005,UNK,0.4,5,27.4,29.3,13.5,99,0.007,2.01,74,1.8,7.12,-0.005,-0.002,0.078,8.9,1.68,21.538,0.000134607,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,135,16538,4.430721211,0.903256476,63.55770204
L005_7_20,7,wet,2,Pelagic,L005,UNK,1,5.06,27.3,30.2,4.5,107,0.02,0.346,10.1,2,8.13,-0.005,0.023,0.06,8.6,0.857,14.283,8.97E-05,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,309,15150,5.090126816,0.887811587,96.89514229
L005_8_20,8,wet,2,Pelagic,L005,UNK,0.8,6.55,25.3,30.5,4.2,95,0.007,0.304,21,2,8.7,-0.005,0.002,0.037,8.9,0.983,26.568,8.44E-05,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,680,46876,5.669875741,0.869333804,130.1136841
L005_9_20,9,wet,2,Pelagic,L005,UNK,0.8,6.28,23.5,30.6,3.9,97,0.009,0.956,19.5,2.4,8.78,-0.005,0.003,0.046,8.7,1.04,22.609,0.000375106,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,738,60430,5.928220864,0.897678875,211.3029981
L005_10_20,10,wet,2,Pelagic,L005,UNK,0.5,6.2,22.4,27.4,4.5,89,0.017,1.58,71.8,3,8.77,-0.005,0.002,0.046,8.8,1.46,31.739,0.000339211,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,845,76328,5.953665193,0.883420064,209.8203595
L005_11_20,11,dry,2,Pelagic,L005,PAIS1,0.4,7.82,20.4,25.7,20,90,0.009,1.18,18.3,3.4,8.24,0.086,0.032,0.117,8.3,1.29,11.026,0.000184861,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,0.48,-0.25,-0.25,-0.25,-0.25,821,46359,5.992621156,0.893018481,218.3977564
L005_12_20,12,dry,2,Pelagic,L005,PAIS1,0.8,6.45,17.7,21.3,18.8,80,0.015,0.752,24.5,3.2,9.7,0.212,0,0.113,8.2,1.29,11.416,0.00072329,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,608,47900,5.615497981,0.876028827,130.5818608
L005_2_21,2,dry,3,Pelagic,L005,PAIS1,0.3,6.64,18.6,22.6,19.7,86,0.006,0.336,15,3.1,10.3,0.144,0.034,0.072,8.4,1.25,17.361,9.69E-05,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,567,39051,5.505240213,0.868285211,121.6528469
L005_3_21,3,dry,3,Pelagic,L005,PAIS1,0.3,9.35,22.3,19.3,46.7,99,-0.005,1.06,11.4,3,9.21,0.378,0.07,0.174,8.4,1.54,8.851,5.74E-05,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,760,40919,5.811620559,0.87612567,149.845749
L005_4_21,4,dry,3,Pelagic,L005,PAIS3,0.2,8.85,22.4,22.2,22.9,98,0.007,0.704,18.6,2.7,9.11,0.208,0.051,0.092,8.3,1.36,14.783,0.003939509,-0.25,-0.5,-0.25,0,-0.25,-0.25,-0.25,-0.25,0.79,-0.25,-0.25,-0.25,-0.25,815,35312,5.722745643,0.853734901,102.8833831
L005_5_21,5,wet,3,Pelagic,L005,PAIS1,0.3,9,22.7,28.4,18.8,100,0.012,1.13,23.1,2.7,7.79,-0.005,0.03,0.114,8.5,1.15,10.088,0.006735753,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,3.8,-0.25,-0.1,-0.25,-0.1,741,57692,5.744795935,0.869369763,124.3587288
L005_6_21,6,wet,3,Pelagic,L005,PAIS2,0.3,9.53,22.7,28.6,29.8,99,0.008,1.32,16.4,2.5,7.28,0.118,0.053,0.15,8.3,1.56,10.4,0.006742932,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,2.2,-0.25,-0.1,-0.25,-0.1,734,67640,5.696522787,0.863304538,100.9348448
L005_7_21,7,wet,3,Pelagic,L005,PAIS1,0.6,7.31,20.4,28.6,8.1,88,0.009,0.406,18.2,2.5,8.76,-0.005,0.022,0.066,8.6,0.88,13.333,0.000536635,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.47,-0.25,-0.1,-0.25,-0.1,437,31886,5.29168387,0.870352305,94.76842626
L005_8_21,8,wet,3,Pelagic,L005,PAIS2,1,8.01,22.3,30,5.2,99,0.037,0.272,13.8,2.4,6.68,0.062,0.011,0.047,8.7,1.03,21.915,0.000227935,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,340,49219,5.216839482,0.894988532,121.0623096
L005_9_21,9,wet,3,Pelagic,L005,PAIS3,1,5.99,22.8,30.1,3.1,97,0.007,0.192,14.8,2.8,7.29,-0.005,0.002,0.033,8.5,0.958,29.03,0.001979626,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.52,-0.25,-0.1,-0.25,-0.1,496,33401,5.381249009,0.867023794,96.41337225
L005_10_21,10,wet,3,Pelagic,L005,PAIS3,0.5,7.64,14,27.8,3.8,48,0.037,0.972,32.4,3.3,7.35,0.103,0.039,0.12,7.6,1.62,13.5,0.000168708,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,985,54091,6.201036571,0.899660376,258.1186229
L006_5_19,5,wet,1,Pelagic,L006,LO22,0.3,11.7,23.8,26.5,31,105,-0.005,0.187,3.65,2.1,7.67,0.368,0.083,0.147,8.2,1.26,8.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,25207,4.599879339,0.815819438,41.08498221
L006_7_19,7,wet,1,Pelagic,L006,ELIZA2,0.5,0,0,28.6,21.2,109,0.012,0.16,4.71,1.9,7.45,0.089,0.064,0.101,8.2,1.14,11.287,0.052683533,0,0,0,0,0,0,0,0,0,0,0,0,0,520,85530,4.037887567,0.645666469,8.149184952
L006_8_19,8,wet,1,Pelagic,L006,ELIZA2,0.4,7.27,23.8,27.9,18.2,102,0.012,0.22,4.27,2.2,7.3,0.169,0.063,0.106,8.1,0.937,8.84,0.000533045,0,0,0,0,0,0,0,0,0,0,0,0,0,833,83628,5.834937647,0.86764438,156.1452501
L006_9_19,9,wet,1,Pelagic,L006,NOAA,0.6,0,0,29.2,46.8,104,0.017,0.856,11.4,2.5,7.07,0.289,0.052,0.146,7.9,1.29,8.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,14990,4.726734071,0.882415372,68.86658584
L006_11_19,11,dry,1,Pelagic,L006,ELIZA23,0.2,8.81,24.2,26.5,47.2,105,0.014,0.524,7.36,2.5,7.71,0.356,0.058,0.15,8.2,1.55,10.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,37054,5.849711729,0.861363712,86.46930715
L006_12_19,12,dry,1,Pelagic,L006,ELIZA23,0.3,0,0,17.9,26.9,103,0.016,0.784,5.97,2.6,8.94,0.248,0.045,0.112,8.2,1.22,10.893,6.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,622,17537,5.753717741,0.894414942,164.0146706
L006_1_20,1,dry,2,Pelagic,L006,ELIZA2,0.3,0,0,21.4,30.1,106,0.012,0.336,13.1,2.7,8.35,0.293,0.048,0.124,8.2,1.32,10.645,0.005027137,0,0,0,0,0,0,0,0,0,0,0,0,0,898,119741,5.95199776,0.875271898,168.7768252
L006_2_20,2,dry,2,Pelagic,L006,ELIZA23,0.3,8.2,24.2,17.8,27.4,104,0.012,0.388,7.68,2.4,9.33,0.299,0.046,0.108,8.2,1.26,11.667,0.00026383,0,0,0,0,0,0,0,0,0,0,0,0,0,926,56635,5.810568901,0.850633272,134.457879
L006_3_20,3,dry,2,Pelagic,L006,ELIZA3,0.2,10.1,25,20.3,49.1,108,0.009,-0.36,2.99,2.5,9.09,0.454,0.075,0.166,8,1.44,8.675,0.000323058,0,0,0,0,0,0,0,0,0,0,0,0,0,121,19156,4.144098447,0.864111643,39.05420939
L006_4_20,4,dry,2,Pelagic,L006,UNK,0.1,10,26.6,25.3,63.8,112,0.006,0.346,6.31,2.2,7.91,0.39,0.078,0.182,8.2,1.57,8.626,8.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,628,34817,5.524375834,0.857484112,77.25520107
L006_5_20,5,wet,2,Pelagic,L006,UNK,0.3,10.3,26.6,25.5,35.1,111,0.01,0.493,9.27,2.2,8.04,0.346,0.085,0.166,8.3,1.38,8.313,0,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,127,14978,4.296715982,0.886983906,48.16842379
L006_6_20,6,wet,2,Pelagic,L006,UNK,0.2,8.55,27,28.6,62.2,115,0.013,1.46,12.9,2.7,7.12,0.212,0.063,0.178,8.3,1.36,7.64,0.000288957,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,0.67,-0.25,-0.25,-0.25,-0.25,268,22734,4.923482367,0.880610594,79.51118005
L006_7_20,7,wet,2,Pelagic,L006,UNK,0.4,6.25,25,29.3,12.7,101,0.029,0.372,4.12,2.4,6.69,0.065,0.056,0.099,8.1,0.918,9.273,0.000536635,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,1,-0.25,-0.25,-0.25,-0.25,428,15083,5.501510359,0.907971365,159.327502
L006_8_20,8,wet,2,Pelagic,L006,UNK,0.2,9.35,25.2,29,25,102,0.007,0.724,6.49,2.5,6.83,0.176,0.064,0.122,8.1,1.08,8.852,0,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,647,29349,5.675117727,0.876825415,146.5898392
L006_9_20,9,wet,2,Pelagic,L006,UNK,0.3,8.58,23.2,28.6,16.1,96,0.007,0.454,5.42,2.8,6.84,0.09,0.052,0.102,8,0.931,9.127,0.000795081,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,2.4,-0.25,-0.25,-0.25,-0.25,1037,71532,6.12351976,0.881832209,185.4013386
L006_10_20,10,wet,2,Pelagic,L006,UNK,0.3,9.26,21.7,27.8,32,101,0.01,0.336,4.61,3.9,7.61,0.342,0.069,0.138,8,1.26,9.13,0.000172297,-0.25,-0.5,-0.25,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,919,66275,5.959055845,0.873341047,161.6212353
L006_11_20,11,dry,2,Pelagic,L006,PAIS1,0.2,6.97,18.2,23.7,93,82,0.007,1.38,9.02,3.7,8.19,0.286,0.045,0.234,8.1,1.98,8.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888,46759,6.110662908,0.900086661,225.1116708
L006_12_20,12,dry,2,Pelagic,L006,PAIS1,0.3,8.78,21.1,19.7,28.5,97,0.009,0.176,4.7,3.6,9.37,0.344,0.066,0.131,8.3,1.2,9.16,0.000181271,0,0,0,0,0,0,0,0,0,0,0,0,0,455,33185,5.236848655,0.855652642,68.47743777
L006_1_21,1,dry,3,Pelagic,L006,PAIS1,0.2,9.12,20.6,18.6,58.7,98,0.012,0.304,4.38,3.6,9.25,0.441,0.071,0.189,8.2,1.64,8.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,51486,5.686695441,0.855606578,117.1222805
L006_2_21,2,dry,3,Pelagic,L006,PAIS1,0.1,9,19.9,23,27.2,95,0.007,0.136,4.49,3.5,10.3,0.336,0.066,0.106,8.3,1.26,11.887,6.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,425,34035,4.999752481,0.826120095,55.88300045
L006_3_21,3,dry,3,Pelagic,L006,PAIS1,0.2,8.83,21.8,19.9,83.5,107,0.013,0.571,4.98,3.2,9.16,0.386,0.074,0.226,8.3,1.64,7.257,9.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,945,56630,6.050524121,0.883135426,200.5570959
L006_4_21,4,dry,3,Pelagic,L006,PAIS3,0.2,9.61,22.1,21.7,38.1,99,0.016,0.296,5.32,3.2,8.74,0.384,0.074,0.16,8.4,1.34,8.375,4.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,702,34231,5.578179317,0.851119316,106.5259003
L006_5_21,5,wet,3,Pelagic,L006,PAIS1,0.2,9.77,22.1,27.1,31.1,95,0.01,0.324,6.22,3.1,7.69,0.294,0.064,0.136,8.3,1.18,8.676,0.002094491,-0.1,-0.5,-0.25,0,-0.25,-0.25,2,-0.1,4.3,-0.25,-0.1,-0.25,-0.1,465,37824,5.175278794,0.842599687,77.90637023
L006_6_21,6,wet,3,Pelagic,L006,PAIS1,0.2,9.94,23.2,29.8,30.9,105,0.012,0.267,6.82,2.6,7.2,0.241,0.061,0.132,8.3,1.2,9.091,0.005755811,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.3,-0.25,-0.1,-0.25,-0.1,541,43345,5.238918903,0.832443966,73.75085236
L006_7_21,7,wet,3,Pelagic,L006,PAIS2,0.3,8.86,23.4,27.9,33,103,0.01,0.58,8.51,3.1,8.43,0.095,0.06,0.14,8.4,1.11,7.929,0.000436128,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,0.3,-0.25,-0.1,-0.25,-0.1,591,51431,5.523631564,0.865526607,113.9954385
L006_8_21,8,wet,3,Pelagic,L006,PAIS2,0.5,2.67,21.8,28.6,20.3,108,0.024,0.4,3.58,3,7.21,0.079,0.045,0.099,8.3,0.953,9.626,0,-0.1,-0.5,-0.25,0,-0.25,-0.25,-0.1,-0.1,-0.25,-0.25,-0.1,-0.25,-0.1,540,42655,5.618568892,0.893031415,149.9826788
